age,qx,qx_LB,qx_UB,ax,ax_lb,ax_ub,2019 mx
0,0.005695877,0.005411083,0.005980671,0.129004951,0.122554704,0.135455199,0.006112703
1,0.001026401,0.000975081,0.001077721,1.582716872,1.503581029,1.661852716,0.000254587
5,0.000602902,0.000572757,0.000633047,2.310704103,2.195168898,2.426239308,0.000125118
10,0.000997566,0.000947688,0.001047444,3.142317975,2.985202076,3.299433873,0.000178177
15,0.004175103,0.003966348,0.004383858,2.867002337,2.72365222,3.010352454,0.000684191
20,0.00790067,0.007505637,0.008295704,2.647371414,2.515002844,2.779739985,0.001297445
25,0.009880732,0.009386696,0.010374769,2.56330956,2.435144082,2.691475039,0.001619194
30,0.012175103,0.011566348,0.012783858,2.568409625,2.439989144,2.696830107,0.001930996
35,0.014578808,0.013849868,0.015307749,2.564698546,2.436463619,2.692933473,0.002321065
40,0.017873672,0.016979989,0.018767356,2.59883721,2.468895349,2.72877907,0.002847696
45,0.024081808,0.022877718,0.025285899,2.637472935,2.505599288,2.769346581,0.003899066
50,0.034977786,0.033228897,0.036726676,2.673963217,2.540265056,2.807661378,0.005882976
55,0.052629873,0.049998379,0.055261366,2.641326603,2.509260272,2.773392933,0.009106906
60,0.076146459,0.072339136,0.079953782,2.609808836,2.479318394,2.740299278,0.013303384
65,0.104041684,0.0988396,0.109243768,2.597597067,2.467717213,2.72747692,0.018530382
70,0.145177098,0.137918243,0.152435952,2.610840679,2.480298645,2.741382713,0.026384771
75,0.221643639,0.210561457,0.232725821,2.614591808,2.483862217,2.745321398,0.04201619
80,0.338654118,0.321721413,0.355586824,2.576062595,2.447259465,2.704865724,0.069711065
85,0.517507545,0.491632168,0.543382922,2.483245667,2.359083383,2.60740795,0.121644714
90,0.723621266,0.687440202,0.759802329,2.281553997,2.167476297,2.395631697,0.208561005
95,0.882307656,0.838192273,0.926423039,1.996227344,1.896415977,2.096038712,0.332300508
100,1,1,1,2.030486565,1.928962237,2.132010894,0.492492793
